what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336451089847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336452637995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336452641954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336452643390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336452644528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336453733044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336453740070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336453809521
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336453811482
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336453831935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336453839488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336453845202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336453857011
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336453858669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336453861863
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336453864687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336453866456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336453875071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336453876393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336453880689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336453882749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336453887863
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336453889687
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336453894988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336453907291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336453941208
